GW1,GW2,GW3,Setor
-80,-80,-81,c2_s1
-81,-81,-81,c2_s1
-80,-82,-80,c2_s1
-79,-82,-80,c2_s1
-73,-82,-80,c2_s1
-73,-81,-79,c2_s1
-73,-83,-80,c2_s1
-73,-81,-81,c2_s1
-74,-80,-79,c2_s1
-74,-81,-80,c2_s1
-69,-81,-82,c2_s1
-73,-82,-80,c2_s1
-73,-81,-80,c2_s1
-74,-81,-80,c2_s1
-79,-80,-79,c2_s1
-74,-81,-80,c2_s1
-73,-82,-80,c2_s1
-73,-81,-81,c2_s1
-81,-82,-80,c2_s1
-73,-81,-81,c2_s1
-80,-81,-80,c2_s1
-73,-82,-80,c2_s1
-73,-81,-80,c2_s1
-73,-81,-80,c2_s1
-79,-81,-81,c2_s1
-73,-81,-80,c2_s1
-73,-82,-80,c2_s1
-80,-82,-84,c2_s1
-73,-82,-80,c2_s1
-73,-82,-81,c2_s1
-73,-83,-80,c2_s1
-79,-82,-82,c2_s1
-73,-82,-81,c2_s1
-73,-82,-80,c2_s1
-73,-81,-80,c2_s1
-73,-82,-80,c2_s1
-72,-84,-80,c2_s1
-73,-82,-81,c2_s1
-80,-82,-80,c2_s1
-73,-81,-81,c2_s1
-73,-81,-79,c2_s1
-73,-82,-79,c2_s1
-69,-81,-80,c2_s1
-73,-81,-81,c2_s1
-79,-81,-80,c2_s1
-73,-82,-81,c2_s1
-73,-80,-80,c2_s1
-80,-80,-84,c2_s1
-73,-81,-81,c2_s1
-73,-81,-80,c2_s1
-81,-81,-86,c2_s1
-73,-81,-80,c2_s1
-81,-82,-81,c2_s1
-81,-83,-79,c2_s1
-73,-81,-80,c2_s1
-80,-82,-80,c2_s1
-73,-82,-80,c2_s1
-73,-82,-80,c2_s1
-78,-81,-80,c2_s1
-73,-82,-79,c2_s1
-73,-82,-80,c2_s1
-80,-82,-81,c2_s1
-73,-82,-80,c2_s1
-73,-81,-80,c2_s1
-81,-81,-84,c2_s1
-73,-82,-80,c2_s1
-73,-82,-80,c2_s1
-73,-82,-80,c2_s1
-73,-82,-80,c2_s1
-78,-82,-85,c2_s1
-74,-81,-80,c2_s1
-79,-82,-86,c2_s1
-73,-81,-81,c2_s1
-73,-82,-80,c2_s1
-72,-82,-80,c2_s1
-80,-81,-81,c2_s1
-73,-82,-81,c2_s1
-73,-81,-80,c2_s1
-73,-82,-81,c2_s1
-73,-81,-80,c2_s1
-72,-82,-80,c2_s1
-73,-82,-80,c2_s1
-73,-81,-80,c2_s1
-73,-81,-80,c2_s1
-72,-84,-79,c2_s1
-72,-82,-79,c2_s1
-78,-85,-84,c2_s1
-72,-84,-79,c2_s1
-73,-82,-80,c2_s1
-73,-81,-80,c2_s1
-73,-81,-79,c2_s1
-73,-81,-80,c2_s1
-72,-81,-79,c2_s1
-79,-83,-80,c2_s1
-78,-81,-80,c2_s1
-73,-82,-81,c2_s1
-78,-82,-80,c2_s1
-72,-82,-79,c2_s1
-73,-81,-80,c2_s1
-81,-82,-80,c2_s1
-83,-79,-85,c2_s2
-82,-79,-87,c2_s2
-83,-79,-81,c2_s2
-83,-79,-85,c2_s2
-83,-80,-85,c2_s2
-83,-79,-86,c2_s2
-82,-79,-88,c2_s2
-83,-79,-86,c2_s2
-76,-78,-85,c2_s2
-81,-79,-81,c2_s2
-83,-79,-85,c2_s2
-82,-79,-86,c2_s2
-82,-79,-85,c2_s2
-82,-79,-85,c2_s2
-85,-79,-81,c2_s2
-82,-79,-81,c2_s2
-84,-79,-87,c2_s2
-83,-79,-87,c2_s2
-83,-78,-85,c2_s2
-86,-79,-85,c2_s2
-86,-79,-79,c2_s2
-85,-79,-85,c2_s2
-85,-79,-85,c2_s2
-86,-80,-85,c2_s2
-86,-79,-85,c2_s2
-85,-79,-85,c2_s2
-85,-79,-85,c2_s2
-84,-78,-85,c2_s2
-84,-78,-87,c2_s2
-85,-79,-85,c2_s2
-85,-79,-85,c2_s2
-85,-79,-80,c2_s2
-87,-80,-86,c2_s2
-84,-79,-85,c2_s2
-86,-80,-85,c2_s2
-86,-79,-85,c2_s2
-85,-78,-85,c2_s2
-84,-79,-86,c2_s2
-85,-79,-85,c2_s2
-85,-80,-79,c2_s2
-85,-79,-80,c2_s2
-87,-78,-79,c2_s2
-85,-78,-86,c2_s2
-85,-79,-81,c2_s2
-86,-80,-86,c2_s2
-87,-79,-85,c2_s2
-86,-77,-85,c2_s2
-86,-76,-79,c2_s2
-78,-80,-85,c2_s2
-78,-79,-86,c2_s2
-86,-79,-84,c2_s2
-87,-80,-80,c2_s2
-80,-78,-85,c2_s2
-85,-79,-79,c2_s2
-85,-80,-85,c2_s2
-86,-79,-85,c2_s2
-85,-81,-79,c2_s2
-85,-78,-85,c2_s2
-77,-78,-79,c2_s2
-85,-79,-81,c2_s2
-86,-79,-85,c2_s2
-86,-79,-86,c2_s2
-85,-80,-87,c2_s2
-84,-79,-86,c2_s2
-84,-79,-88,c2_s2
-85,-80,-85,c2_s2
-85,-80,-85,c2_s2
-85,-79,-79,c2_s2
-84,-78,-81,c2_s2
-82,-79,-85,c2_s2
-85,-79,-85,c2_s2
-85,-80,-80,c2_s2
-85,-79,-85,c2_s2
-83,-79,-85,c2_s2
-85,-80,-85,c2_s2
-85,-79,-85,c2_s2
-85,-80,-85,c2_s2
-85,-80,-79,c2_s2
-83,-83,-83,c2_s2
-84,-81,-85,c2_s2
-87,-79,-85,c2_s2
-82,-79,-85,c2_s2
-85,-78,-85,c2_s2
-85,-78,-81,c2_s2
-86,-79,-85,c2_s2
-81,-79,-87,c2_s2
-84,-79,-87,c2_s2
-85,-77,-85,c2_s2
-86,-79,-86,c2_s2
-80,-80,-84,c2_s2
-85,-78,-84,c2_s2
-85,-79,-82,c2_s2
-85,-79,-85,c2_s2
-86,-79,-85,c2_s2
-81,-78,-81,c2_s2
-85,-80,-80,c2_s2
-85,-83,-86,c2_s2
-85,-82,-85,c2_s2
-85,-77,-85,c2_s2
-85,-80,-87,c2_s2
-76,-83,-91,c2_s3
-76,-83,-92,c2_s3
-75,-83,-91,c2_s3
-75,-80,-92,c2_s3
-76,-84,-91,c2_s3
-76,-83,-90,c2_s3
-75,-83,-91,c2_s3
-76,-83,-90,c2_s3
-75,-84,-93,c2_s3
-76,-83,-91,c2_s3
-76,-83,-81,c2_s3
-76,-83,-87,c2_s3
-76,-83,-89,c2_s3
-75,-83,-81,c2_s3
-76,-83,-89,c2_s3
-75,-83,-89,c2_s3
-75,-80,-90,c2_s3
-76,-83,-89,c2_s3
-76,-81,-91,c2_s3
-75,-83,-89,c2_s3
-75,-83,-91,c2_s3
-76,-84,-89,c2_s3
-76,-83,-89,c2_s3
-76,-82,-90,c2_s3
-75,-83,-88,c2_s3
-76,-82,-81,c2_s3
-76,-83,-94,c2_s3
-76,-83,-82,c2_s3
-76,-83,-88,c2_s3
-76,-82,-88,c2_s3
-76,-83,-92,c2_s3
-76,-83,-90,c2_s3
-75,-82,-92,c2_s3
-76,-82,-91,c2_s3
-76,-77,-89,c2_s3
-76,-83,-92,c2_s3
-75,-82,-83,c2_s3
-76,-83,-90,c2_s3
-76,-82,-91,c2_s3
-76,-83,-82,c2_s3
-76,-81,-91,c2_s3
-75,-84,-91,c2_s3
-75,-82,-83,c2_s3
-76,-82,-92,c2_s3
-76,-83,-91,c2_s3
-76,-83,-91,c2_s3
-76,-83,-90,c2_s3
-75,-85,-82,c2_s3
-76,-83,-92,c2_s3
-75,-83,-94,c2_s3
-75,-81,-93,c2_s3
-76,-82,-93,c2_s3
-76,-83,-93,c2_s3
-76,-81,-91,c2_s3
-75,-83,-92,c2_s3
-76,-80,-93,c2_s3
-76,-83,-92,c2_s3
-75,-80,-92,c2_s3
-76,-80,-92,c2_s3
-75,-81,-94,c2_s3
-76,-83,-90,c2_s3
-75,-83,-93,c2_s3
-76,-81,-90,c2_s3
-76,-81,-90,c2_s3
-76,-80,-91,c2_s3
-75,-83,-92,c2_s3
-75,-83,-93,c2_s3
-75,-83,-90,c2_s3
-76,-84,-89,c2_s3
-75,-78,-92,c2_s3
-76,-83,-83,c2_s3
-76,-82,-90,c2_s3
-75,-83,-91,c2_s3
-75,-83,-94,c2_s3
-75,-82,-83,c2_s3
-75,-83,-92,c2_s3
-75,-80,-90,c2_s3
-75,-79,-91,c2_s3
-75,-82,-91,c2_s3
-76,-81,-92,c2_s3
-75,-82,-91,c2_s3
-75,-83,-91,c2_s3
-76,-83,-91,c2_s3
-76,-83,-90,c2_s3
-75,-83,-93,c2_s3
-76,-82,-90,c2_s3
-75,-80,-91,c2_s3
-75,-82,-93,c2_s3
-75,-83,-83,c2_s3
-75,-79,-93,c2_s3
-75,-83,-91,c2_s3
-75,-82,-94,c2_s3
-75,-80,-91,c2_s3
-75,-83,-91,c2_s3
-75,-84,-92,c2_s3
-76,-83,-91,c2_s3
-75,-82,-90,c2_s3
-75,-83,-92,c2_s3
-75,-83,-91,c2_s3
-75,-84,-83,c2_s3
-86,-70,-89,c2_s4
-89,-70,-88,c2_s4
-87,-71,-92,c2_s4
-88,-72,-88,c2_s4
-88,-71,-88,c2_s4
-88,-70,-90,c2_s4
-88,-70,-91,c2_s4
-86,-72,-89,c2_s4
-89,-70,-90,c2_s4
-88,-71,-89,c2_s4
-86,-77,-89,c2_s4
-88,-70,-89,c2_s4
-89,-70,-89,c2_s4
-88,-71,-90,c2_s4
-86,-71,-89,c2_s4
-88,-73,-89,c2_s4
-88,-71,-86,c2_s4
-89,-71,-86,c2_s4
-88,-70,-88,c2_s4
-91,-71,-88,c2_s4
-88,-71,-89,c2_s4
-90,-68,-88,c2_s4
-87,-68,-89,c2_s4
-88,-70,-89,c2_s4
-88,-71,-88,c2_s4
-89,-71,-86,c2_s4
-88,-71,-89,c2_s4
-88,-72,-90,c2_s4
-91,-70,-93,c2_s4
-88,-70,-90,c2_s4
-88,-72,-89,c2_s4
-88,-72,-89,c2_s4
-88,-70,-88,c2_s4
-89,-70,-88,c2_s4
-81,-70,-89,c2_s4
-90,-70,-85,c2_s4
-88,-71,-89,c2_s4
-89,-71,-89,c2_s4
-88,-72,-89,c2_s4
-88,-70,-87,c2_s4
-90,-70,-90,c2_s4
-90,-72,-91,c2_s4
-88,-71,-88,c2_s4
-86,-72,-89,c2_s4
-88,-68,-87,c2_s4
-88,-68,-90,c2_s4
-88,-70,-89,c2_s4
-88,-70,-89,c2_s4
-83,-70,-89,c2_s4
-87,-73,-88,c2_s4
-91,-71,-88,c2_s4
-90,-68,-86,c2_s4
-88,-70,-86,c2_s4
-89,-70,-89,c2_s4
-91,-70,-89,c2_s4
-88,-73,-86,c2_s4
-91,-71,-87,c2_s4
-91,-71,-92,c2_s4
-88,-70,-90,c2_s4
-88,-70,-87,c2_s4
-93,-70,-86,c2_s4
-91,-70,-90,c2_s4
-88,-73,-89,c2_s4
-88,-79,-86,c2_s4
-88,-71,-88,c2_s4
-88,-71,-89,c2_s4
